ids,labels
377,222
378,622
379,155
380,46
381,605
382,1018
383,1120
384,688
385,163
386,735
387,114
388,514
389,1107
390,295
391,1042
392,2
393,925
394,706
395,406
396,1057
397,1189
398,881
399,520
400,962
401,270
402,1170
403,618
404,201
405,1004
406,880
407,540
408,651
409,101
410,236
411,295
412,46
413,570
414,589
415,905
416,779
417,841
418,824
419,472
420,1137
421,25
422,791
423,633
424,104
425,525
426,1121
427,1026
428,810
429,893
430,184
431,745
432,1159
433,1171
434,266
435,516
436,887
437,1038
438,144
439,234
440,642
441,227
442,442
443,547
444,1151
445,891
446,177
447,511
448,1021
449,600
450,29
451,846
452,1028
453,189
454,1036
455,404
456,594
457,74
458,178
459,513
460,255
461,516
462,891
463,1147
464,344
465,548
466,1162
467,1122
468,324
469,1093
470,864
471,1190
472,935
473,1083
474,519
475,1010
476,796
477,457
478,494
479,5
480,582
481,875
482,289
483,342
484,348
485,406
486,106
487,261
488,617
489,586
490,352
491,1162
492,924
493,712
494,580
495,510
496,1051
497,367
498,51
499,878
500,1058
501,576
502,370
503,708
504,1071
505,990
506,454
507,1018
508,1089
509,33
510,293
511,306
512,528
513,1158
514,991
515,719
516,560
517,1059
518,406
519,839
520,154
521,1078
522,1022
523,404
524,409
525,507
526,557
527,659
528,564
529,470
530,759
531,195
532,562
533,785
534,1094
535,625
536,253
537,1205
538,641
539,500
540,584
541,495
542,728
543,414
544,1191
545,1121
546,754
547,1171
548,505
549,443
550,451
551,651
552,374
553,1034
554,891
555,63
556,964
557,1174
558,195
559,1173
560,496
561,303
562,234
563,934
564,180
565,510
566,604
567,1153
568,81
569,201
570,504
571,633
572,387
573,250
574,766
575,235
576,348
577,229
578,1055
579,1205
580,637
581,507
582,958
583,1162
584,502
585,362
586,1
587,1188
588,713
589,5
590,929
591,471
592,435
593,1146
594,974
595,1017
596,1193
597,352
598,1092
599,139
600,1036
601,996
602,989
603,412
604,746
605,145
606,681
607,425
608,1042
609,512
610,963
611,894
612,47
613,918
614,949
615,1047
616,1036
617,625
618,870
619,184
620,937
621,889
622,845
623,1137
624,149
625,141
626,525
627,1019
628,6
629,1025
630,310
631,1085
632,57
633,295
634,723
635,531
636,512
637,510
638,993
639,159
640,690
641,502
642,529
643,361
644,313
645,1133
646,749
647,485
648,445
649,527
650,101
651,1020
652,966
653,518
654,397
655,510
656,295
657,215
658,1170
659,440
660,1044
661,408
662,533
663,1119
664,561
665,223
666,462
667,467
668,438
669,995
670,188
671,387
672,480
673,734
674,1163
675,891
676,780
677,676
678,510
679,481
680,1059
681,723
682,18
683,917
684,257
685,458
686,78
687,625
688,39
689,656
690,510
691,976
692,1123
693,1188
694,1165
695,735
696,920
697,672
698,709
699,647
700,678
701,637
702,1162
703,890
704,1083
705,1066
706,944
707,115
708,329
709,394
710,1183
711,467
712,330
713,606
714,251
715,249
716,641
717,185
718,34
719,48
720,172
721,1162
722,301
723,869
724,1196
725,34
726,423
727,1006
728,730
729,294
730,1171
731,951
732,848
733,485
734,337
735,56
736,1057
737,811
738,5
739,376
740,973
741,180
742,465
743,268
744,160
745,988
746,1
747,550
748,672
749,172
750,404
751,725
752,807
753,1079
754,1043
755,486
756,937
757,633
758,206
759,740
760,9
761,947
762,688
763,810
764,791
765,1190
766,512
767,519
768,595
769,1146
770,202
771,658
772,1085
773,480
774,703
775,336
776,625
777,41
778,1125
779,1052
780,406
781,534
782,967
783,555
784,324
785,1203
786,552
787,403
788,337
789,883
790,1119
791,910
792,1121
793,1173
794,1152
795,634
796,938
797,1199
798,375
799,407
800,1161
801,782
802,1038
803,849
804,930
805,23
806,96
807,1209
808,34
809,261
810,891
811,1135
812,854
813,13
814,180
815,884
816,878
817,150
818,359
819,85
820,1191
821,1060
822,1051
823,154
824,92
825,162
826,553
827,452
828,1052
829,868
830,501
831,509
832,1095
833,265
834,740
835,1198
836,647
837,601
838,301
839,177
840,998
841,337
842,223
843,52
844,658
845,181
846,123
847,467
848,1172
849,215
850,209
851,675
852,383
853,618
854,140
855,151
856,983
857,755
858,133
859,1029
860,878
861,457
862,177
863,723
864,1029
865,914
866,953
867,728
868,1114
869,1019
870,433
871,561
872,238
873,574
874,1190
875,1169
876,71
877,1199
878,404
879,673
880,493
881,528
882,66
883,1139
884,717
885,802
886,95
887,289
888,508
889,476
890,494
891,793
892,440
893,21
894,188
895,569
896,351
897,146
898,192
899,1162
900,406
901,97
902,71
903,471
904,584
905,432
906,89
907,974
908,922
909,3
910,242
911,106
912,885
913,58
914,1167
915,381
916,1210
917,106
918,617
919,1012
920,386
921,8
922,193
923,861
924,724
925,992
926,14
927,82
928,418
929,139
930,676
931,1167
932,711
933,1081
934,991
935,681
936,832
937,1086
938,1169
939,625
940,698
941,861
942,992
943,629
944,1198
945,991
946,1189
947,255
948,1189
949,301
950,222
951,510
952,680
953,686
954,1087
955,5
956,705
957,667
958,688
959,352
960,915
961,228
962,721
963,203
964,600
965,310
966,457
967,891
968,879
969,414
970,168
971,871
972,952
973,227
974,927
975,1172
976,785
977,412
978,124
979,1038
980,1192
981,897
982,27
983,346
984,811
985,566
986,1005
987,718
988,1151
989,1049
990,506
991,340
992,514
993,689
994,1113
995,1083
996,419
997,180
998,160
999,433
1000,100
1001,866
1002,1023
1003,98
1004,316
1005,457
1006,688
1007,169
1008,510
1009,222
1010,1142
1011,404
1012,529
1013,628
1014,625
1015,914
1016,572
1017,1044
1018,371
1019,1125
1020,449
1021,1019
1022,614
1023,563
1024,97
1025,441
1026,891
1027,69
1028,821
1029,1164
1030,89
1031,69
1032,863
1033,44
1034,882
1035,310
1036,563
1037,148
1038,510
1039,1146
1040,367
1041,448
1042,863
1043,407
1044,843
1045,706
1046,735
1047,329
1048,204
1049,586
1050,1196
1051,1164
1052,359
1053,796
1054,416
1055,1167
1056,234
1057,1165
1058,1005
1059,136
1060,78
1061,917
1062,625
1063,735
1064,32
1065,96
1066,870
1067,98
1068,1120
1069,943
1070,688
1071,71
1072,202
1073,1081
1074,497
1075,826
1076,328
1077,1195
1078,180
1079,197
1080,841
1081,344
1082,802
1083,466
1084,1196
1085,164
1086,327
1087,606
1088,453
1089,1082
1090,834
1091,525
1092,812
1093,525
1094,925
1095,947
1096,210
1097,1090
1098,572
1099,302
1100,850
1101,602
1102,998
1103,530
1104,334
1105,1058
1106,1157
1107,930
1108,14
1109,472
1110,837
1111,17
1112,1162
1113,141
1114,512
1115,566
1116,516
1117,740
1118,238
1119,363
1120,1047
1121,274
1122,510
1123,810
1124,779
1125,322
1126,604
1127,593
1128,1162
1129,486
1130,522
1131,1207
1132,216
1133,1049
1134,557
1135,824
1136,518
1137,978
1138,373
1139,116
1140,467
1141,1021
1142,923
1143,1017
1144,625
1145,906
1146,1083
1147,872
1148,891
1149,1162
1150,684
1151,404
1152,56
1153,878
1154,560
1155,139
1156,493
1157,858
1158,1098
1159,1023
1160,370
1161,47
1162,242
1163,1188
1164,927
1165,69
1166,924
1167,891
1168,510
1169,216
1170,293
1171,735
1172,606
1173,575
1174,535
1175,1199
1176,610
1177,758
1178,764
1179,909
1180,81
1181,46
1182,82
1183,548
1184,1135
1185,1142
1186,671
1187,291
1188,720
1189,1090
1190,250
1191,907
1192,374
1193,1066
1194,303
1195,922
1196,991
1197,1167
1198,636
1199,490
1200,709
1201,754
1202,752
1203,606
1204,1199
1205,459
1206,996
1207,511
1208,101
1209,423
1210,840
1211,1212
1212,1020
1213,683
1214,1004
1215,890
1216,515
1217,510
1218,76
1219,615
1220,467
1221,1137
1222,1147
1223,935
1224,381
1225,443
1226,953
1227,853
1228,846
1229,899
1230,894
1231,828
1232,446
1233,97
1234,26
1235,711
1236,997
1237,229
1238,869
1239,1117
1240,301
1241,1133
1242,375
1243,1067
1244,238
1245,511
1246,122
1247,214
1248,467
1249,828
1250,885
1251,659
1252,473
1253,445
1254,239
1255,939
1256,422
1257,93
1258,616
1259,1162
1260,1162
1261,1062
1262,1167
1263,164
1264,32
1265,510
1266,838
1267,884
1268,101
1269,386
1270,1026
1271,933
1272,923
1273,208
1274,807
1275,555
1276,1152
1277,648
1278,1212
1279,228
1280,1078
1281,306
1282,833
1283,1193
1284,810
1285,1041
1286,511
1287,510
1288,509
1289,138
1290,890
1291,558
1292,614
1293,422
1294,1001
1295,174
1296,1123
1297,627
1298,932
1299,1089
1300,342
1301,837
1302,884
1303,511
1304,819
1305,113
1306,653
1307,391
1308,981
1309,441
1310,273
1311,1034
1312,505
1313,49
1314,140
1315,354
1316,8
1317,755
1318,620
1319,1104
1320,847
1321,668
1322,702
1323,533
1324,876
1325,251
1326,1074
1327,441
1328,853
1329,1117
1330,987
1331,385
1332,1075
1333,837
1334,453
1335,528
1336,8
1337,1037
1338,390
1339,693
1340,769
1341,426
1342,1151
1343,112
1344,843
1345,13
1346,13
1347,1028
1348,87
1349,744
1350,1165
1351,884
1352,506
1353,1079
1354,1193
1355,462
1356,1008
1357,87
1358,1118
1359,1164
1360,539
1361,40
1362,34
1363,350
1364,212
1365,203
1366,897
1367,1203
1368,992
1369,169
1370,507
1371,319
1372,9
1373,1117
1374,975
1375,1007
1376,282
1377,1147
1378,165
1379,838
1380,1050
1381,1051
1382,813
1383,455
1384,467
1385,5
1386,891
1387,324
1388,1198
1389,426
1390,40
1391,1115
1392,309
1393,376
1394,1059
1395,877
1396,125
1397,34
1398,285
1399,9
1400,1078
1401,274
1402,8
1403,616
1404,478
1405,306
1406,1074
1407,145
1408,689
1409,1087
1410,644
1411,1057
1412,756
1413,1015
1414,1193
1415,1043
1416,411
1417,64
1418,1024
1419,49
1420,904
1421,1063
1422,1052
1423,570
1424,112
1425,1068
1426,1137
1427,75
1428,350
1429,999
1430,957
1431,94
1432,519
1433,325
1434,447
1435,613
1436,378
1437,600
1438,1162
1439,1168
1440,174
1441,845
1442,650
1443,1131
1444,585
1445,691
1446,589
1447,117
1448,1093
1449,197
1450,1078
1451,1162
1452,192
1453,246
1454,660
1455,109
1456,507
1457,1178
1458,906
1459,752
1460,317
1461,673
1462,891
1463,118
1464,857
1465,523
1466,606
1467,1181
1468,452
1469,186
1470,940
1471,710
1472,938
1473,1191
1474,605
1475,575
1476,995
1477,833
1478,985
1479,533
1480,501
1481,183
1482,467
1483,133
1484,808
1485,401
1486,1184
1487,562
1488,1028
1489,468
1490,897
1491,201
1492,1157
1493,1193
1494,540
1495,741
1496,846
1497,899
1498,618
1499,1111
1500,1011
1501,501
1502,99
1503,80
1504,320
1505,169
1506,533
1507,467
1508,929
1509,204
1510,513
1511,970
1512,440
1513,468
1514,511
1515,799
1516,1172
1517,448
1518,690
1519,688
1520,501
1521,39
1522,211
1523,892
1524,139
1525,521
1526,498
1527,837
1528,1144
1529,886
1530,1155
1531,199
1532,467
1533,619
1534,111
1535,354
1536,901
1537,78
1538,382
1539,467
1540,1199
1541,995
1542,165
1543,361
1544,1136
1545,552
1546,505
1547,606
1548,69
1549,65
1550,1196
1551,297
1552,1204
1553,660
1554,728
1555,535
1556,507
1557,327
1558,823
1559,141
1560,1008
1561,512
1562,913
1563,926
1564,765
1565,841
1566,142
1567,103
1568,657
1569,933
1570,521
1571,335
1572,781
1573,428
1574,223
1575,1175
1576,990
1577,415
1578,614
1579,397
1580,102
1581,36
1582,1041
1583,480
1584,338
1585,439
1586,787
1587,418
1588,665
1589,1042
1590,994
1591,16
1592,887
1593,724
1594,488
1595,1053
1596,620
1597,119
1598,1155
1599,961
1600,357
1601,728
1602,961
1603,404
1604,140
1605,8
1606,115
1607,394
1608,510
1609,625
1610,510
1611,311
1612,563
1613,1060
1614,9
1615,194
1616,1085
1617,646
1618,188
1619,21
1620,360
1621,1152
1622,176
1623,992
1624,1144
1625,891
1626,125
1627,450
1628,875
1629,476
1630,441
1631,486
1632,406
1633,563
1634,809
1635,20
1636,794
1637,977
1638,738
1639,386
1640,636
1641,180
1642,117
1643,723
1644,41
1645,780
1646,376
1647,60
1648,181
1649,746
1650,62
1651,951
1652,606
1653,986
1654,856
1655,423
1656,925
1657,383
1658,507
1659,81
1660,473
1661,575
1662,420
1663,510
1664,317
1665,413
1666,549
1667,582
1668,168
1669,618
1670,617
1671,1146
1672,724
1673,91
1674,927
1675,1177
1676,983
1677,997
1678,1093
1679,42
1680,708
1681,12
1682,310
1683,1204
1684,60
1685,348
1686,639
1687,132
1688,1144
1689,1037
1690,510
1691,851
1692,810
1693,1180
1694,469
1695,720
1696,438
1697,100
1698,168
1699,123
1700,7
1701,15
1702,530
1703,250
1704,625
1705,577
1706,404
1707,1003
1708,892
1709,947
1710,861
1711,1111
1712,562
1713,539
1714,912
1715,130
1716,1020
1717,367
1718,40
1719,34
1720,516
1721,1022
1722,416
1723,469
1724,551
1725,1197
1726,586
1727,331
1728,1008
1729,34
1730,1191
1731,991
1732,457
1733,251
1734,34
1735,124
1736,195
1737,891
1738,310
1739,558
1740,507
1741,301
1742,1003
1743,787
1744,1198
1745,1197
1746,316
1747,1162
1748,352
1749,845
1750,911
1751,1189
1752,1041
1753,1185
1754,810
1755,467
1756,231
1757,376
1758,406
1759,1030
1760,36
1761,1212
1762,991
1763,63
1764,1039
1765,771
1766,60
1767,1138
1768,461
1769,118
1770,731
1771,522
1772,825
1773,800
1774,1173
1775,1096
1776,152
1777,607
1778,182
1779,744
1780,1014
1781,1126
1782,63
1783,397
1784,661
1785,235
1786,999
1787,358
1788,1052
1789,1016
1790,1008
1791,625
1792,1167
1793,252
1794,207
1795,664
1796,507
1797,673
1798,188
1799,271
1800,835
1801,860
1802,736
1803,598
1804,884
1805,604
1806,327
1807,1162
1808,1032
1809,510
1810,348
1811,189
1812,302
1813,911
1814,164
1815,395
1816,253
1817,272
1818,755
1819,507
1820,446
1821,627
1822,958
1823,26
1824,1190
1825,393
1826,657
1827,883
1828,358
1829,717
1830,686
1831,340
1832,205
1833,291
1834,163
1835,165
1836,1199
1837,1072
1838,254
1839,507
1840,723
1841,796
1842,195
1843,695
1844,332
1845,53
1846,1024
1847,817
1848,1177
1849,352
1850,738
1851,1046
1852,173
1853,796
1854,998
1855,1147
1856,146
1857,632
1858,925
1859,388
1860,902
1861,962
1862,1039
1863,324
1864,1212
1865,504
1866,944
1867,600
1868,873
1869,925
1870,1162
1871,671
1872,817
1873,8
1874,1162
1875,355
1876,989
1877,5
1878,657
1879,745
1880,735
1881,999
1882,955
1883,594
1884,1012
1885,459
1886,153
1887,895
1888,883
1889,873
1890,658
1891,814
1892,945
1893,467
1894,1111
1895,1193
1896,890
1897,655
1898,595
1899,719
1900,236
1901,1130
1902,419
1903,683
1904,714
1905,483
1906,289
1907,115
1908,1122
1909,1122
1910,135
1911,5
1912,800
1913,327
1914,358
1915,1055
1916,909
1917,1158
1918,650
1919,1029
1920,21
1921,52
1922,123
1923,841
1924,1022
1925,823
1926,377
1927,566
1928,1090
1929,180
1930,847
1931,324
1932,1022
1933,407
1934,984
1935,606
1936,1099
1937,625
1938,138
1939,1162
1940,373
1941,327
1942,1026
1943,712
1944,1015
1945,507
1946,897
1947,768
1948,717
1949,157
1950,477
1951,1088
1952,140
1953,449
1954,470
1955,267
1956,488
1957,620
1958,1025
1959,567
1960,988
1961,1194
1962,264
1963,1189
1964,1150
1965,49
1966,588
1967,621
1968,260
1969,607
1970,352
1971,718
1972,467
1973,391
1974,173
1975,399
1976,172
1977,1173
1978,1140
1979,917
1980,426
1981,1014
1982,1207
1983,497
1984,352
1985,625
1986,703
1987,685
1988,221
1989,408
1990,483
1991,310
1992,1205
1993,836
1994,552
1995,539
1996,450
1997,248
1998,1177
1999,994
2000,679
2001,891
2002,510
2003,989
2004,884
2005,702
2006,386
2007,155
2008,1158
2009,100
2010,1117
2011,762
2012,102
2013,957
2014,216
2015,338
2016,880
2017,1171
2018,943
2019,882
2020,513
2021,562
2022,768
2023,761
2024,1118
2025,612
2026,1117
2027,981
2028,290
2029,802
2030,957
2031,1162
2032,980
2033,8
2034,992
2035,1201
2036,246
2037,532
2038,262
2039,366
2040,1212
2041,972
2042,1177
2043,313
2044,424
2045,1123
2046,578
2047,1069
2048,951
2049,938
2050,429
2051,516
2052,630
2053,404
2054,324
2055,292
2056,55
2057,533
2058,493
2059,715
2060,261
2061,229
2062,769
2063,163
2064,958
2065,250
2066,454
2067,298
2068,262
2069,525
2070,521
2071,616
2072,1183
2073,195
2074,310
2075,1080
2076,715
2077,820
2078,1038
2079,630
2080,1096
2081,128
2082,500
2083,826
2084,94
2085,625
2086,348
2087,1146
2088,412
2089,79
2090,1018
2091,425
2092,726
2093,490
2094,686
2095,107
2096,1191
2097,604
2098,15
2099,317
2100,510
2101,123
2102,1083
2103,870
2104,228
2105,468
2106,768
2107,717
2108,1096
2109,62
2110,606
2111,379
2112,918
2113,1068
2114,147
2115,1117
2116,558
2117,1011
2118,669
2119,704
2120,6
2121,670
2122,676
2123,943
2124,862
2125,225
2126,396
2127,269
2128,742
2129,870
2130,20
2131,913
2132,1116
2133,13
2134,576
2135,175
2136,524
2137,880
2138,1108
2139,343
2140,235
2141,352
2142,281
2143,476
2144,981
2145,4
2146,983
2147,1173
2148,611
2149,905
2150,882
2151,211
2152,683
2153,618
2154,655
2155,673
2156,1116
2157,320
2158,894
2159,613
2160,688
2161,191
2162,598
2163,846
2164,363
2165,133
2166,1212
2167,33
2168,208
2169,1018
2170,652
2171,102
2172,1173
2173,1137
2174,539
2175,598
2176,686
2177,596
2178,467
2179,63
2180,324
2181,753
2182,794
2183,1054
2184,406
2185,391
2186,15
2187,1033
2188,888
2189,886
2190,16
2191,1042
2192,760
2193,115
2194,909
2195,870
2196,5
2197,491
2198,896
2199,204
2200,26
2201,606
2202,903
2203,1060
2204,368
2205,895
2206,781
2207,46
2208,1068
2209,855
2210,1198
2211,718
2212,225
2213,547
2214,998
2215,210
2216,357
2217,23
2218,50
2219,510
2220,245
2221,1144
2222,7
2223,734
2224,1015
2225,263
2226,459
2227,1012
2228,249
2229,918
2230,501
2231,838
2232,891
2233,118
2234,833
2235,484
2236,47
2237,1167
2238,894
2239,587
2240,1035
2241,473
2242,502
2243,299
2244,73
2245,941
2246,717
2247,992
2248,496
2249,811
2250,408
2251,804
2252,762
2253,1021
2254,694
2255,157
2256,407
2257,858
2258,983
2259,510
2260,295
2261,448
2262,34
2263,16
2264,1175
2265,1184
2266,1162
2267,542
2268,1012
2269,356
2270,863
2271,1193
2272,573
2273,1131
2274,405
2275,865
2276,99
2277,106
2278,606
2279,499
2280,721
2281,858
2282,144
2283,268
2284,64
2285,291
2286,83
2287,868
2288,581
2289,34
2290,1191
2291,607
2292,371
2293,247
2294,1022
2295,947
2296,212
2297,1091
2298,874
2299,352
2300,1183
2301,1070
2302,503
2303,1193
2304,991
2305,794
2306,735
2307,700
2308,205
2309,975
2310,423
2311,127
2312,434
2313,587
2314,800
2315,512
2316,1208
2317,328
2318,331
2319,867
2320,879
2321,1115
2322,838
2323,962
2324,303
2325,678
2326,897
2327,105
2328,625
2329,644
2330,1171
2331,625
2332,120
2333,1188
2334,338
2335,625
2336,1167
2337,72
2338,89
2339,874
2340,1009
2341,3
2342,479
2343,454
2344,625
2345,349
2346,817
2347,820
2348,1162
2349,184
2350,116
2351,1080
2352,806
2353,1205
2354,98
2355,619
2356,559
2357,756
2358,313
2359,820
2360,213
2361,838
2362,328
2363,562
2364,568
2365,342
2366,527
2367,474
2368,420
2369,504
2370,1056
2371,892
2372,142
2373,1128
2374,24
2375,1108
2376,702
2377,991
2378,352
2379,637
2380,680
2381,246
2382,669
2383,1049
2384,72
2385,944
2386,318
2387,891
2388,306
2389,109
2390,417
2391,871
2392,1185
2393,238
2394,516
2395,1139
2396,167
2397,13
2398,1178
2399,625
2400,117
2401,246
2402,695
2403,808
2404,1155
2405,486
2406,435
2407,1177
2408,502
2409,84
2410,675
2411,497
2412,758
2413,389
2414,969
2415,1131
2416,306
2417,416
2418,499
2419,617
2420,1183
2421,682
2422,1160
2423,476
2424,441
2425,488
2426,625
2427,1096
2428,883
2429,374
2430,1177
2431,1167
2432,841
2433,606
2434,482
2435,330
2436,468
2437,557
2438,453
2439,661
2440,635
2441,1158
2442,324
2443,944
2444,876
2445,415
2446,60
2447,537
2448,1158
2449,468
2450,891
2451,54
2452,625
2453,754
2454,7
2455,831
2456,539
2457,803
2458,264
2459,460
2460,561
2461,256
2462,1196
2463,397
2464,972
2465,970
2466,565
2467,625
2468,1193
2469,412
2470,213
2471,718
2472,389
2473,97
2474,849
2475,440
2476,423
2477,725
2478,775
2479,173
2480,844
2481,406
2482,378
2483,122
2484,283
2485,614
2486,728
2487,1150
2488,1147
2489,993
2490,684
2491,8
2492,380
2493,355
2494,467
2495,306
2496,1002
2497,457
2498,485
2499,748
2500,625
2501,467
2502,1020
2503,1202
2504,1185
2505,179
2506,310
2507,67
2508,1055
2509,510
2510,741
2511,960
2512,315
2513,26
2514,1162
2515,486
2516,118
2517,9
2518,69
2519,263
2520,573
2521,776
2522,989
2523,906
2524,808
2525,509
2526,389
2527,778
2528,1130
2529,668
2530,177
2531,720
2532,873
2533,466
2534,236
2535,471
2536,872
2537,839
2538,16
2539,324
2540,527
2541,717
2542,894
2543,1205
2544,883
2545,1183
2546,258
2547,808
2548,131
2549,575
2550,1082
2551,95
2552,562
2553,112
2554,728
2555,752
2556,129
2557,467
2558,300
2559,267
2560,356
2561,52
2562,417
2563,620
2564,346
2565,841
2566,1007
2567,375
2568,16
2569,552
2570,915
2571,163
2572,1067
2573,585
2574,719
2575,1206
2576,487
2577,72
2578,746
2579,336
2580,219
2581,136
2582,653
2583,1151
2584,417
2585,1133
2586,917
2587,580
2588,355
2589,651
2590,1212
2591,238
2592,507
2593,288
2594,408
2595,802
2596,72
2597,913
2598,984
2599,23
2600,434
2601,46
2602,438
2603,1108
2604,387
2605,1191
2606,386
2607,702
2608,511
2609,712
2610,1037
2611,467
2612,124
2613,592
2614,507
2615,518
2616,833
2617,998
2618,364
2619,378
2620,1028
2621,1070
2622,790
2623,994
2624,119
2625,879
2626,1212
2627,581
2628,219
2629,203
2630,468
2631,1188
2632,155
2633,450
2634,324
2635,1188
2636,601
2637,634
2638,1160
2639,1179
2640,622
2641,1014
2642,1078
2643,580
2644,384
2645,1001
2646,1085
2647,807
2648,621
2649,1200
2650,1054
2651,625
2652,467
2653,507
2654,783
2655,525
2656,846
2657,541
2658,279
2659,1103
2660,1162
2661,391
2662,1147
2663,255
2664,467
2665,759
2666,1136
2667,440
2668,1190
2669,429
2670,173
2671,1177
2672,473
2673,389
2674,633
2675,828
2676,46
2677,654
2678,406
2679,966
2680,316
2681,725
2682,604
2683,703
2684,120
2685,598
2686,1084
2687,203
2688,886
2689,680
2690,197
2691,620
2692,624
2693,1187
2694,251
2695,1037
2696,1193
2697,559
2698,483
2699,26
2700,429
2701,171
2702,509
2703,288
2704,532
2705,607
2706,26
2707,721
2708,155
2709,1146
2710,280
2711,687
2712,625
2713,625
2714,548
2715,464
2716,168
2717,588
2718,133
2719,409
2720,423
2721,210
2722,833
2723,213
2724,835
2725,171
2726,181
2727,346
2728,525
2729,20
2730,1008
2731,42
2732,870
2733,1212
2734,1013
2735,1160
2736,440
2737,22
2738,928
2739,444
2740,933
2741,311
2742,464
2743,155
2744,657
2745,780
2746,581
2747,1042
2748,714
2749,1079
2750,1191
2751,561
2752,116
2753,516
2754,200
2755,3
2756,333
2757,692
2758,688
2759,1074
2760,1162
2761,819
2762,31
2763,426
2764,9
2765,551
2766,669
2767,1204
2768,790
2769,507
2770,841
2771,684
2772,713
2773,466
2774,922
2775,1002
2776,646
2777,24
2778,1017
2779,780
2780,546
2781,525
2782,535
2783,570
2784,37
2785,542
2786,471
2787,389
2788,572
2789,537
2790,620
2791,56
2792,961
2793,827
2794,322
2795,55
2796,1211
2797,348
2798,488
2799,34
2800,169
2801,571
2802,191
2803,232
2804,468
2805,541
2806,510
2807,1177
2808,423
2809,62
2810,458
2811,308
2812,668
2813,116
2814,34
2815,91
2816,878
2817,519
2818,597
2819,810
2820,1045
2821,817
2822,1002
2823,1130
2824,542
2825,237
2826,1088
2827,329
2828,1133
2829,311
2830,697
2831,686
2832,894
2833,597
2834,759
2835,599
2836,85
2837,1197
2838,562
2839,536
2840,184
2841,332
2842,1134
2843,140
2844,243
2845,633
2846,406
2847,1147
2848,689
2849,155
2850,1082
2851,529
2852,255
2853,8
2854,143
2855,369
2856,891
2857,255
2858,53
2859,1162
2860,804
2861,625
2862,485
2863,738
2864,333
2865,1167
2866,1032
2867,151
2868,596
2869,406
2870,552
2871,1115
2872,1194
2873,377
2874,581
2875,423
2876,255
2877,181
2878,424
2879,30
2880,765
2881,473
2882,280
2883,215
2884,1005
2885,551
